timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1638730059424,29456,ADJUSTEDCOSINE,200,,Thread Group 1-4,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,29455,0,1
1638730082374,34110,ADJUSTEDCOSINE,200,,Thread Group 1-5,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,34110,0,0
1638730083809,33461,ADJUSTEDCOSINE,200,,Thread Group 1-3,text,true,,229,218,9,9,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,33461,0,0
1638730084126,33262,ADJUSTEDCOSINE,200,,Thread Group 1-2,text,true,,229,218,8,8,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,33262,0,0
1638730084440,33378,ADJUSTEDCOSINE,200,,Thread Group 1-1,text,true,,229,218,7,7,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,33377,0,0
1638730085818,32175,ADJUSTEDCOSINE,200,,Thread Group 1-10,text,true,,229,218,6,6,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,32175,0,0
1638730086714,31476,ADJUSTEDCOSINE,200,,Thread Group 1-6,text,true,,229,218,5,5,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,31476,0,0
1638730087372,30907,ADJUSTEDCOSINE,200,,Thread Group 1-7,text,true,,229,218,4,4,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,30907,0,0
1638730085500,32878,ADJUSTEDCOSINE,200,,Thread Group 1-9,text,true,,229,218,3,3,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,32878,0,0
1638730086327,32175,ADJUSTEDCOSINE,200,,Thread Group 1-8,text,true,,229,218,2,2,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,32175,0,0
1638730088880,29648,ADJUSTEDCOSINE,200,,Thread Group 1-4,text,true,,229,218,1,1,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,29648,0,0
1638730118530,27203,CORRELATION,200,,Thread Group 2-1,text,true,,228,215,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=CORRELATION&numNeighbors=10000&aggregationApproach=mean,27202,0,1
1638730118631,28723,CORRELATION,200,,Thread Group 2-2,text,true,,228,215,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=CORRELATION&numNeighbors=10000&aggregationApproach=mean,28723,0,0
1638730118831,29100,CORRELATION,200,,Thread Group 2-4,text,true,,227,215,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=CORRELATION&numNeighbors=10000&aggregationApproach=mean,29099,0,1
1638730118731,29718,CORRELATION,200,,Thread Group 2-3,text,true,,228,215,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=CORRELATION&numNeighbors=10000&aggregationApproach=mean,29718,0,1
1638730118930,29738,CORRELATION,200,,Thread Group 2-5,text,true,,228,215,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=CORRELATION&numNeighbors=10000&aggregationApproach=mean,29738,0,1
1638730119237,29658,CORRELATION,200,,Thread Group 2-8,text,true,,228,215,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=CORRELATION&numNeighbors=10000&aggregationApproach=mean,29657,0,65
1638730119037,29923,CORRELATION,200,,Thread Group 2-6,text,true,,228,215,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=CORRELATION&numNeighbors=10000&aggregationApproach=mean,29923,0,17
1638730119331,30442,CORRELATION,200,,Thread Group 2-9,text,true,,228,215,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=CORRELATION&numNeighbors=10000&aggregationApproach=mean,30442,0,0
1638730119133,31310,CORRELATION,200,,Thread Group 2-7,text,true,,228,215,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=CORRELATION&numNeighbors=10000&aggregationApproach=mean,31310,0,5
1638730119436,31382,CORRELATION,200,,Thread Group 2-10,text,true,,228,215,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=CORRELATION&numNeighbors=10000&aggregationApproach=mean,31382,0,2
1638730145734,31017,CORRELATION,200,,Thread Group 2-1,text,true,,227,215,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=CORRELATION&numNeighbors=10000&aggregationApproach=mean,31017,0,0
1638730147355,31738,CORRELATION,200,,Thread Group 2-2,text,true,,228,215,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=CORRELATION&numNeighbors=10000&aggregationApproach=mean,31738,0,0
1638730147931,31322,CORRELATION,200,,Thread Group 2-4,text,true,,228,215,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=CORRELATION&numNeighbors=10000&aggregationApproach=mean,31322,0,0
1638730148449,31787,CORRELATION,200,,Thread Group 2-3,text,true,,228,215,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=CORRELATION&numNeighbors=10000&aggregationApproach=mean,31787,0,0
1638730148895,31960,CORRELATION,200,,Thread Group 2-8,text,true,,228,215,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=CORRELATION&numNeighbors=10000&aggregationApproach=mean,31960,0,0
1638730148668,32216,CORRELATION,200,,Thread Group 2-5,text,true,,228,215,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=CORRELATION&numNeighbors=10000&aggregationApproach=mean,32216,0,0
1638730148961,32290,CORRELATION,200,,Thread Group 2-6,text,true,,228,215,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=CORRELATION&numNeighbors=10000&aggregationApproach=mean,32290,0,0
